CMDLINE python -m exporters.coreml -m=meta-llama/Llama-2-7b-chat-hf \ --feature=text-generation --quantize=float16 --use_past --preprocessor=tokenizer --framework=pt
MEM 1.613281 1692991125.4830
MEM 17.750000 1692991125.5918
MEM 29.046875 1692991125.6996
MEM 35.835938 1692991125.8083
MEM 40.535156 1692991125.9166
MEM 45.324219 1692991126.0248
MEM 48.871094 1692991126.1327
MEM 51.679688 1692991126.2403
MEM 53.996094 1692991126.3481
MEM 56.652344 1692991126.4562
MEM 57.710938 1692991126.5637
MEM 60.761719 1692991126.6715
MEM 102.328125 1692991126.7806
MEM 126.257812 1692991126.8885
MEM 149.421875 1692991126.9965
MEM 174.945312 1692991127.1045
MEM 193.101562 1692991127.2120
MEM 209.527344 1692991127.3193
MEM 223.851562 1692991127.4275
MEM 231.414062 1692991127.5355
MEM 244.554688 1692991127.6429
MEM 263.835938 1692991127.7505
MEM 271.566406 1692991127.8585
MEM 274.839844 1692991127.9665
MEM 275.726562 1692991128.0742
MEM 276.671875 1692991128.1819
MEM 278.492188 1692991128.2898
MEM 280.207031 1692991128.3980
MEM 282.992188 1692991128.5055
MEM 286.976562 1692991128.6129
MEM 288.203125 1692991128.7203
MEM 291.343750 1692991128.8283
MEM 293.632812 1692991128.9364
MEM 294.332031 1692991129.0444
MEM 294.863281 1692991129.1519
MEM 296.218750 1692991129.2599
MEM 297.960938 1692991129.3680
MEM 298.437500 1692991129.4760
MEM 301.070312 1692991129.5837
MEM 303.265625 1692991129.6914
MEM 305.464844 1692991129.7994
MEM 307.714844 1692991129.9071
MEM 309.339844 1692991130.0146
MEM 311.664062 1692991130.1227
MEM 314.316406 1692991130.2303
MEM 318.636719 1692991130.3385
MEM 321.367188 1692991130.4465
MEM 328.503906 1692991130.5542
MEM 331.667969 1692991130.6625
MEM 335.218750 1692991130.7711
MEM 337.507812 1692991130.8791
MEM 340.914062 1692991130.9882
MEM 345.289062 1692991131.0963
MEM 347.875000 1692991131.2039
MEM 349.394531 1692991131.3110
MEM 352.667969 1692991131.4190
MEM 353.976562 1692991131.5270
